Data;0-39;40-59;60-79;80-89;>= 90
27/11/20;0,78%;4,26%;32,17%;40,57%;22,22%
28/11/20;0,41%;4,25%;32,74%;40,68%;21,92%
29/11/20;0,15%;3,12%;35,16%;40,21%;21,36%
30/11/20;0,43%;4,64%;32,75%;38,12%;24,06%
01/12/20;0,30%;4,57%;31,25%;42,84%;21,04%
02/12/20;0,28%;4,28%;34,39%;40,33%;20,72%
03/12/20;0;3,63%;32,68%;41,30%;22,39%
04/12/20;0,14%;3,45%;34,96%;35,68%;25,76%
05/12/20;0,16%;5,07%;27,89%;41,52%;25,36%
06/12/20;0,61%;4,60%;29,45%;41,87%;23,47%
07/12/20;0,16%;2,95%;33,75%;41,52%;21,62%
08/12/20;0,33%;2,81%;30,08%;41,32%;25,45%
09/12/20;0,58%;4,20%;33,62%;36,38%;25,22%
10/12/20;0;3,37%;32,05%;39,90%;24,68%
11/12/20;0,16%;3,56%;33,17%;42,56%;20,55%
12/12/20;0;2,20%;29,61%;44,16%;24,03%
13/12/20;0,17%;3,30%;29,17%;43,06%;24,31%
14/12/20;0,17%;4,33%;32,06%;42,46%;20,97%
15/12/20;0,34%;4,96%;32,31%;38,29%;24,10%
16/12/20;0,47%;4,35%;30,28%;41,15%;23,76%
17/12/20;0;3,21%;30,96%;42,47%;23,35%
18/12/20;0;1,79%;31,66%;44,19%;22,36%
19/12/20;0;4,71%;30,20%;40,00%;25,10%
20/12/20;0,40%;3,82%;30,92%;38,55%;26,31%
21/12/20;0;2,55%;27,25%;47,65%;22,55%
22/12/20;0;4,00%;32,00%;40,60%;23,40%
23/12/20;0,40%;3,78%;34,99%;36,98%;23,86%
24/12/20;0;5,87%;29,96%;42,31%;21,86%
25/12/20;0,47%;4,46%;28,17%;40,61%;26,29%
26/12/20;0,23%;2,99%;28,51%;45,98%;22,30%
27/12/20;0,48%;3,56%;32,54%;39,19%;24,23%
28/12/20;0;1,98%;31,75%;44,44%;21,83%
29/12/20;0;3,56%;30,96%;41,87%;23,61%
30/12/20;0,21%;2,51%;28,18%;45,30%;23,80%
31/12/20;0,46%;2,30%;31,34%;43,55%;22,35%
01/01/21;0;4,39%;27,41%;43,42%;24,78%
02/01/21;0,23%;4,42%;31,16%;45,81%;18,37%
03/01/21;0,24%;4,24%;28,47%;40,00%;27,06%
04/01/21;0;4,33%;30,31%;43,11%;22,24%
05/01/21;0,40%;3,60%;29,60%;46,40%;20,00%
06/01/21;0,21%;2,13%;31,13%;44,14%;22,39%
07/01/21;0,21%;2,77%;31,13%;43,71%;22,17%
08/01/21;0,22%;4,47%;31,77%;45,64%;17,90%
09/01/21;0,23%;4,32%;31,36%;40,68%;23,41%
10/01/21;0,23%;3,15%;34,46%;37,16%;25,00%
11/01/21;0,21%;3,15%;31,30%;43,49%;21,85%
12/01/21;0,43%;4,50%;31,48%;45,61%;17,99%
13/01/21;0;2,64%;29,45%;45,93%;21,98%
14/01/21;0,23%;2,79%;33,26%;39,07%;24,65%
15/01/21;0,59%;2,18%;29,90%;43,96%;23,37%
16/01/21;0,45%;2,91%;31,39%;41,93%;23,32%
17/01/21;0,45%;3,13%;31,54%;42,28%;22,60%
18/01/21;0,83%;2,92%;32,29%;42,92%;21,04%
19/01/21;0,43%;3,42%;32,26%;44,23%;19,66%
20/01/21;0,23%;3,64%;31,44%;44,19%;20,50%
21/01/21;0,24%;3,33%;28,74%;46,32%;21,38%
22/01/21;0;3,05%;32,63%;40,38%;23,94%
23/01/21;0,25%;3,69%;33,42%;38,82%;23,83%
24/01/21;0,24%;4,34%;31,81%;41,69%;21,93%
25/01/21;0;4,02%;30,65%;45,23%;20,10%
26/01/21;0;2,95%;29,02%;40,59%;27,44%
27/01/21;0;3,45%;30,57%;42,99%;22,99%
28/01/21;0;3,30%;32,74%;42,64%;21,32%
29/01/21;0,55%;3,88%;33,24%;41,55%;20,78%
30/01/21;0;2,65%;29,10%;48,41%;19,84%
31/01/21;0;5,75%;33,42%;39,73%;21,10%
01/02/21;0;3,67%;33,33%;36,72%;26,27%
02/02/21;0,50%;3,49%;30,92%;40,65%;24,44%
03/02/21;0;2,73%;32,51%;45,63%;19,13%
04/02/21;0;2,69%;29,85%;46,27%;21,19%
05/02/21;0,49%;2,20%;30,49%;40,98%;25,85%
06/02/21;0;4,36%;32,56%;43,31%;19,77%
07/02/21;0,33%;3,97%;30,46%;40,07%;25,17%
08/02/21;0;3,93%;31,72%;41,39%;22,96%
