Data;Provincia;Nuovi Positivi (0-18 anni);Nuovi Positivi Totali;Rapporto Nuovi Positivi 0-18 su Nuovi Positivi Totali;Popolazione (0-18 anni);Tasso Nuovi Positivi su 100.000 (0-18 anni);Tamponi Effettuati (0-18 anni);% Nuovi Positivi su Popolazione (0-18 anni);% Nuovi Positivi su Tamponi (0-18 anni)
27/12/2021 - 02/01/2022;Pistoia;753;4.834;15,58%;45.599;1.651,35;4.302;1,65%;17,50%
27/12/2021 - 02/01/2022;Siena;1.015;5.747;17,66%;40.917;2.480,63;5.507;2,48%;18,40%
27/12/2021 - 02/01/2022;Totale;11.645;68.677;16,96%;571.139;2.038,91;56.515;2,04%;20,60%
;;;;;;;;;
03/01/2022 - 09/01/2022;Arezzo;1.260;7.728;16,30%;52.240;2.411,94;5.421;2,41%;23,20%
03/01/2022 - 09/01/2022;Firenze;5.293;32.425;16,32%;156.593;3.380,10;20.696;3,38%;25,60%
03/01/2022 - 09/01/2022;Grosseto;650;3.830;16,97%;31.106;2.089,63;3.062;2,09%;21,20%
03/01/2022 - 09/01/2022;Livorno;1.184;6.720;17,62%;48.911;2.420,72;4.469;2,42%;26,50%
03/01/2022 - 09/01/2022;Lucca;1.472;9.110;16,16%;57.349;2.566,74;5.377;2,57%;27,40%
03/01/2022 - 09/01/2022;Massa Carrara;651;4.099;15,88%;26.637;2.443,97;2.180;2,44%;29,90%
03/01/2022 - 09/01/2022;Pisa;1.829;11.256;16,25%;66.994;2.730,10;7.292;2,73%;25,10%
03/01/2022 - 09/01/2022;Prato;1.084;6.959;15,58%;44.793;2.420,02;4.224;2,42%;25,70%
03/01/2022 - 09/01/2022;Pistoia;1.174;7.511;15,63%;45.599;2.574,62;4.798;2,57%;24,50%
03/01/2022 - 09/01/2022;Siena;101;6.338;17,37%;40.917;2.690,81;5.771;2,69%;19,10%
03/01/2022 - 09/01/2022;Totale;15.698;95.976;16,36%;571.139;2.748,54;63.290;2,75%;24,80%
;;;;;;;;;
10/01/2022 - 16/01/2022;Arezzo;1.444;7.143;20,22%;52.240;2.764,17;7.947;2,76%;18,20%
10/01/2022 - 16/01/2022;Firenze;5.318;26.130;20,35%;156.593;3.396,06;25.298;3,40%;21,00%
10/01/2022 - 16/01/2022;Grosseto;740;3.698;20,01%;31.106;2.378,96;3.743;2,38%;19,80%
10/01/2022 - 16/01/2022;Livorno;1.717;7.293;23,54%;48.911;3.510,46;6.836;3,51%;25,10%
10/01/2022 - 16/01/2022;Lucca;1.707;7.990;21,36%;57.349;2.976,51;7.443;2,98%;22,90%
10/01/2022 - 16/01/2022;Massa Carrara;719;3.706;19,40%;26.637;2.699,25;3.308;2,70%;21,70%
10/01/2022 - 16/01/2022;Pisa;2.142;9.697;22,09%;66.994;3.197,30;9.991;3,20%;21,40%
10/01/2022 - 16/01/2022;Prato;1.191;5.496;21,67%;44.793;2.658,90;5.201;2,66%;22,90%
10/01/2022 - 16/01/2022;Pistoia;1.331;6.557;20,30%;45.599;2.918,92;5.827;2,92%;22,80%
10/01/2022 - 16/01/2022;Siena;1.087;4.769;22,79%;40.917;2.656,60;6.805;2,66%;16,00%
10/01/2022 - 16/01/2022;Totale;17.396;82.479;21,09%;571.139;3.045,84;82.399;3,05%;21,10%
;;;;;;;;;
17/01/2022 - 23/01/2022;Arezzo;2.037;6.736;30,24%;52.240;3.889,31;7.980;3,90%;25,50%
17/01/2022 - 23/01/2022;Firenze;7.593;25.734;29,51%;156.593;4.848,88;29.469;4,85%;25,80%
17/01/2022 - 23/01/2022;Grosseto;1.310;4.308;30,41%;31.106;4.211,41;5.240;4,21%;25,00%
17/01/2022 - 23/01/2022;Livorno;2.410;8.534;28,24%;48.911;4.927,32;9.033;4,93%;26,70%
17/01/2022 - 23/01/2022;Lucca;2.071;7.688;26,94%;57.349;3.611,22;9.388;3,61%;22,10%
17/01/2022 - 23/01/2022;Massa Carrara;914;3.210;28,47%;26.637;3.431,32;3.990;3,43%;22,90%
17/01/2022 - 23/01/2022;Pisa;2.874;9.723;29,56%;66.994;4.289,94;12.147;4,29%;23,70%
17/01/2022 - 23/01/2022;Prato;1.637;5.581;29,33%;44.793;3.654,59;6.366;3,65%;25,70%
17/01/2022 - 23/01/2022;Pistoia;1.881;6.830;27,54%;45.599;4.125,09;7.472;4,13%;25,20%
17/01/2022 - 23/01/2022;Siena;1.330;4.508;29,50%;40.917;3.250,48;6.658;3,25%;20,00%
17/01/2022 - 23/01/2022;Totale;24.057;82.852;29,04%;571.139;4.212,11;97.743;4,21%;24,60%
;;;;;;;;;
24/01/2022 - 30/01/2022;Arezzo;2.015;6.269;32,14%;52.240;3.857,20;10.155;3,86%;19,80%
24/01/2022 - 30/01/2022;Firenze;6.533;20.697;31,56%;156.593;4.171,96;33.633;4,17%;19,40%
24/01/2022 - 30/01/2022;Grosseto;1.236;3.997;30,92%;31.106;3.973,51;6.299;3,97%;19,60%
24/01/2022 - 30/01/2022;Livorno;2.281;7.453;30,61%;48.911;4.663,57;10.773;4,66%;21,20%
24/01/2022 - 30/01/2022;Lucca;2.038;6.934;29,39%;57.349;3.553,68;10.442;3,55%;19,50%
24/01/2022 - 30/01/2022;Massa Carrara;773;2.683;28,81%;26.637;2.901,98;4.190;2,90%;18,40%
24/01/2022 - 30/01/2022;Pisa;2.469;7.944;31,08%;66.994;3.685,40;14.216;3,69%;17,40%
24/01/2022 - 30/01/2022;Prato;1.578;5.082;31,05%;44.793;3.522,87;7.827;3,52%;20,20%
24/01/2022 - 30/01/2022;Pistoia;1.673;5.881;28,45%;45.599;3.668,94;8.602;3,67%;19,40%
24/01/2022 - 30/01/2022;Siena;1.323;4.010;32,99%;40.917;3.233,37;7.360;3,23%;18,00%
24/01/2022 - 30/01/2022;Totale;21.919;70.950;30,89%;571.139;3.837,77;113.497;3,84%;19,30%
;;;;;;;;;
31/01/2022 - 06/02/2022;Arezzo;1.331;4.418;30,13%;52.240;2.547,86;8.302;2,55%;16,00%
31/01/2022 - 06/02/2022;Firenze;4.048;13.168;30,74%;156.593;2.585,05;27.624;2,59%;14,70%
31/01/2022 - 06/02/2022;Grosseto;945;3.266;28,93%;31.106;3.038,00;5.819;3,04%;16,20%
31/01/2022 - 06/02/2022;Livorno;1.514;5.216;29,03%;48.911;3.095,42;9.584;3,10%;15,80%
31/01/2022 - 06/02/2022;Lucca;1.548;5.258;29,44%;57.349;2.699,26;8.891;2,70%;17,40%
31/01/2022 - 06/02/2022;Massa Carrara;545;1.924;28,33%;26.637;2.046,03;3.506;2,05%;15,50%
31/01/2022 - 06/02/2022;Pisa;1.679;5.528;30,37%;66.994;2.506,19;11.603;2,51%;14,50%
31/01/2022 - 06/02/2022;Prato;1.059;3.399;31,16%;44.793;2.364,21;6.246;2,36%;17,00%
31/01/2022 - 06/02/2022;Pistoia;1.142;3.739;30,54%;45.599;2.504,44;7.729;2,50%;14,80%
31/01/2022 - 06/02/2022;Siena;1.066;3.103;34,35%;40.917;2.605,27;6.106;2,61%;17,50%
31/01/2022 - 06/02/2022;Totale;14.877;49.019;30,35%;571.139;2.604,79;95.410;2,60%;15,60%
;;;;;;;;;
07/02/2022 - 13/02/2022;Arezzo;900;2.951;30,50%;52.240;1.722,82;4.949;1,72%;18,20%
07/02/2022 - 13/02/2022;Firenze;2.240;7.724;29,00%;156.593;1.430,46;16.241;1,43%;13,80%
