Settimana;Comune;Casi
10/01/2022 - 16/01/2022;CASAMASSIMA;5
10/01/2022 - 16/01/2022;CASSANO M.;4
10/01/2022 - 16/01/2022;CASTELLANA G.;12
10/01/2022 - 16/01/2022;CELLAMARE;3
10/01/2022 - 16/01/2022;CONVERSANO;19
10/01/2022 - 16/01/2022;CORATO;64
10/01/2022 - 16/01/2022;GIOIA DEL COLLE;0
10/01/2022 - 16/01/2022;GIOVINAZZO;13
10/01/2022 - 16/01/2022;GRAVINA IN P.;43
10/01/2022 - 16/01/2022;GRUMO APPULA;4
10/01/2022 - 16/01/2022;LOCOROTONDO;4
10/01/2022 - 16/01/2022;MODUGNO;16
10/01/2022 - 16/01/2022;MOLA DI BARI;19
10/01/2022 - 16/01/2022;MOLFETTA;41
10/01/2022 - 16/01/2022;MONOPOLI;15
10/01/2022 - 16/01/2022;NOCI;3
10/01/2022 - 16/01/2022;NOICATTARO;4
10/01/2022 - 16/01/2022;PALO DEL C.;5
10/01/2022 - 16/01/2022;POGGIORSINI;0
10/01/2022 - 16/01/2022;POLIGNANO;6
10/01/2022 - 16/01/2022;PUTIGNANO;16
10/01/2022 - 16/01/2022;RUTIGLIANO;10
10/01/2022 - 16/01/2022;RUVO DI P.;16
10/01/2022 - 16/01/2022;SAMMICHELE DI B.;2
10/01/2022 - 16/01/2022;SANNICANDRO DI B.;4
10/01/2022 - 16/01/2022;SANTERAMO IN C.;19
10/01/2022 - 16/01/2022;TERLIZZI;18
10/01/2022 - 16/01/2022;TORITTO;1
10/01/2022 - 16/01/2022;TRIGGIANO;12
10/01/2022 - 16/01/2022;TURI;5
10/01/2022 - 16/01/2022;VALENZANO;7
;;
17/01/2022 - 23/01/2022;ACQUAVIVA;14
17/01/2022 - 23/01/2022;ADELFIA;25
17/01/2022 - 23/01/2022;ALBEROBELLO;27
17/01/2022 - 23/01/2022;ALTAMURA;128
17/01/2022 - 23/01/2022;BARI;217
17/01/2022 - 23/01/2022;BINETTO;10
17/01/2022 - 23/01/2022;BITETTO;24
17/01/2022 - 23/01/2022;BITONTO;14
17/01/2022 - 23/01/2022;BITRITTO;25
17/01/2022 - 23/01/2022;CAPURSO;1
17/01/2022 - 23/01/2022;CASAMASSIMA;6
17/01/2022 - 23/01/2022;CASSANO M.;5
17/01/2022 - 23/01/2022;CASTELLANA G.;47
17/01/2022 - 23/01/2022;CELLAMARE;1
17/01/2022 - 23/01/2022;CONVERSANO;31
17/01/2022 - 23/01/2022;CORATO;0
17/01/2022 - 23/01/2022;GIOIA DEL COLLE;0
17/01/2022 - 23/01/2022;GIOVINAZZO;0
17/01/2022 - 23/01/2022;GRAVINA IN P.;59
17/01/2022 - 23/01/2022;GRUMO APPULA;10
17/01/2022 - 23/01/2022;LOCOROTONDO;37
17/01/2022 - 23/01/2022;MODUGNO;9
17/01/2022 - 23/01/2022;MOLA DI BARI;21
17/01/2022 - 23/01/2022;MOLFETTA;0
17/01/2022 - 23/01/2022;MONOPOLI;112
17/01/2022 - 23/01/2022;NOCI;18
17/01/2022 - 23/01/2022;NOICATTARO;18
17/01/2022 - 23/01/2022;PALO DEL C.;2
17/01/2022 - 23/01/2022;POGGIORSINI;6
17/01/2022 - 23/01/2022;POLIGNANO;8
17/01/2022 - 23/01/2022;PUTIGNANO;24
17/01/2022 - 23/01/2022;RUTIGLIANO;13
17/01/2022 - 23/01/2022;RUVO DI P.;0
17/01/2022 - 23/01/2022;SAMMICHELE DI B.;9
17/01/2022 - 23/01/2022;SANNICANDRO DI B.;2
17/01/2022 - 23/01/2022;SANTERAMO IN C.;10
17/01/2022 - 23/01/2022;TERLIZZI;0
17/01/2022 - 23/01/2022;TORITTO;4
17/01/2022 - 23/01/2022;TRIGGIANO;5
17/01/2022 - 23/01/2022;TURI;7
17/01/2022 - 23/01/2022;VALENZANO;3
;;
24/01/2022 - 30/01/2022;ACQUAVIVA;79
24/01/2022 - 30/01/2022;ADELFIA;5
24/01/2022 - 30/01/2022;ALBEROBELLO;14
24/01/2022 - 30/01/2022;ALTAMURA;122
24/01/2022 - 30/01/2022;BARI;327
24/01/2022 - 30/01/2022;BINETTO;4
24/01/2022 - 30/01/2022;BITETTO;25
24/01/2022 - 30/01/2022;BITONTO;76
24/01/2022 - 30/01/2022;BITRITTO;51
24/01/2022 - 30/01/2022;CAPURSO;1
24/01/2022 - 30/01/2022;CASAMASSIMA;5
24/01/2022 - 30/01/2022;CASSANO M.;14
24/01/2022 - 30/01/2022;CASTELLANA G.;13
