Data;ATS;Scuola infanzia / nido (classi);Scuola infanzia / nido (alunni);Scuola primaria (classi);Scuola primaria (alunni);Scuola secondaria primo grado (classi);Scuola secondaria primo grado (alunni);Scuola secondaria - secondo grado (classi);Scuola secondaria - secondo grado (alunni);Totale classi;Totale alunni;;;;;;;;;;
21/03/2022-27/03/2022;Totale (ATS);57;533;94;983;185;3328;164;2999;500;7823;;;;;;;;;;
28/03/2022-03/04/2022;321 - MILANO;9;23;35;118;41;429;20;248;105;818;;;;;;;;;;
28/03/2022-03/04/2022;322 - INSUBRIA;0;0;5;32;14;257;18;366;37;655;;;;;;;;;;
28/03/2022-03/04/2022;323 - MONTAGNA;0;0;1;12;3;55;1;20;5;88;;;;;;;;;;
28/03/2022-03/04/2022;324 - BRIANZA;1;9;3;26;11;180;9;164;24;379;;;;;;;;;;
28/03/2022-03/04/2022;325 - BERGAMO;2;16;2;23;1;17;3;58;8;114;;;;;;;;;;
28/03/2022-03/04/2022;326 - BRESCIA;0;0;3;63;18;379;10;203;31;645;;;;;;;;;;
28/03/2022-03/04/2022;327 - VALPADANA;1;16;3;29;5;94;7;143;16;282;;;;;;;;;;
28/03/2022-03/04/2022;328 - PAVIA;0;0;3;3;1;1;3;68;7;72;;;;;;;;;;
28/03/2022-03/04/2022;Totale (ATS);13;64;55;306;94;1412;71;1270;233;3053;;;;;;;;;;
