Giorno;Positivi;Positivi_non_consolidati;Sintomatici;Sintomatici_non_consolidati
02/01/21;1,080887224;;1,083145147;
03/01/21;1,086590359;;1,088304787;
04/01/21;1,091064785;;1,092715711;
05/01/21;1,095240339;;1,095947188;
06/01/21;1,093751289;;1,093711119;
07/01/21;1,087178044;;1,086632855;
08/01/21;1,076327401;;1,075463169;
09/01/21;1,060819763;;1,059679833;
10/01/21;1,042888697;;1,04162381;
11/01/21;1,021287575;;1,020096494;
12/01/21;0,997122165;;0,996176116;
13/01/21;0,97137656;;0,970587159;
14/01/21;0,945528442;;0,944972532;
15/01/21;0,920145374;;0,919986754;
16/01/21;0,896365761;;0,896713346;
17/01/21;0,873612298;;0,874445698;
18/01/21;0,853537234;;0,854925077;
19/01/21;0,836807473;;0,838895218;
20/01/21;0,825626286;;0,828334531;
21/01/21;0,818127939;;0,821383985;
22/01/21;0,81736282;;0,820974425;
23/01/21;0,82262715;;0,826314714;
24/01/21;0,831711518;;0,835353811;
25/01/21;0,842979631;;0,846425253;
26/01/21;0,856634419;;0,860158696;
27/01/21;0,872372996;;0,876263523;
28/01/21;0,890056568;;0,894653428;
29/01/21;0,908200651;;0,913033932;
30/01/21;0,926236312;;0,931069745;
31/01/21;0,943123503;;0,947661185;
01/02/21;0,958375011;;0,962594633;
02/02/21;0,969640647;;0,974177186;
03/02/21;0,980335774;;0,98495229;
04/02/21;0,988823893;;0,993284744;
05/02/21;0,995548738;;0,999753083;
06/02/21;1,001747259;;1,005699603;
07/02/21;1,006578768;;1,01007695;
08/02/21;1,010800877;;1,0137812;
09/02/21;1,014183662;;1,016706318;
10/02/21;1,018505184;;1,020865186;
11/02/21;1,021899264;;1,024182548;
12/02/21;1,024045051;;1,026270638;
13/02/21;1,025328982;;1,027338366;
14/02/21;1,026430958;;1,028202955;
15/02/21;1,028496405;;1,030113041;
16/02/21;1,031872154;;1,033239591;
17/02/21;1,036608237;;1,03769225;
18/02/21;1,044297335;;1,045069077;
19/02/21;1,053717304;;1,054061444;
20/02/21;1,06583679;;1,065698946;
21/02/21;1,079110572;;1,078656667;
22/02/21;1,095551734;;1,09477357;
23/02/21;1,113860291;;1,112658466;
24/02/21;1,133739546;;1,132150363;
25/02/21;1,153267926;;1,151150554;
26/02/21;1,172748434;;1,170048759;
27/02/21;1,190140318;;1,186936762;
28/02/21;1,204425723;;1,201043452;
01/03/21;1,218141505;;1,214722049;
02/03/21;1,228674689;;1,225091052;
03/03/21;1,235933317;;1,232124703;
04/03/21;1,239392088;;1,235402805;
05/03/21;1,23981661;;1,235527314;
06/03/21;1,236535342;;1,23190301;
07/03/21;1,228881297;;1,224434425;
08/03/21;1,221225998;;1,217062365;
09/03/21;1,211470263;;1,207445117;
10/03/21;1,200741411;;1,196708403;
11/03/21;1,188202157;;1,184133675;
12/03/21;1,174988227;;1,170897112;
13/03/21;1,16043152;;1,156511406;
