Settimana n.;Settimana;Regione;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Categoria incidenza;Casi (0-4 anni);Inc (0-4 anni);Casi (5-14 anni);Inc (5-14 anni);Casi (15-64 anni);Inc (15-64 anni);Casi (65 anni e oltre);Inc (65 anni e oltre)
2020-46;15-21 novembre 2021;Umbria;8;20;8.684;2,3;<3,16;6;9,24;6;3,53;5;1,02;3;2,1
2020-46;15-21 novembre 2021;Marche;9;71;10.944;6,49;<3,16;32;25,12;13;5,11;25;4,87;1;0,5
2020-46;15-21 novembre 2021;Lazio;183;969;240.528;4,03;<3,16;195;20,09;138;5,48;536;3,6;100;1,76
2020-46;15-21 novembre 2021;Abruzzo;33;206;37.740;5,46;<3,16;74;20,98;53;6,88;57;2,97;22;3
2020-46;15-21 novembre 2021;Molise;11;9;11.467;0,78;<3,16;-;-;-;-;9;1,19;-;-
2020-46;15-21 novembre 2021;Campania;nd;nd;nd;nd;<3,16;nd;nd;nd;nd;nd;nd;nd;nd
2020-46;15-21 novembre 2021;Puglia;79;378;101.814;3,71;<3,16;86;17,53;49;4,23;190;3,09;53;2,22
2020-46;15-21 novembre 2021;Basilicata;nd;nd;nd;nd;<3,16;nd;nd;nd;nd;nd;nd;nd;nd
2020-46;15-21 novembre 2021;Calabria;nd;nd;nd;nd;;nd;nd;nd;nd;nd;nd;nd;nd
2020-46;15-21 novembre 2021;Sicilia;121;508;144.931;3,51;<3,16;77;14,69;87;5,99;197;2,19;147;4,16
2020-46;15-21 novembre 2021;Sardegna;nd;nd;nd;nd;;nd;nd;nd;nd;nd;nd;nd;nd
2020-47;22-28 novembre 2021;Piemonte;53;495;75.136;6,59; <9,37;146;32,65;87;9;227;5,35;35;1,89
2020-47;22-28 novembre 2021;Val D'Aosta;nd;nd;nd;nd;<3,16;nd;nd;nd;nd;nd;nd;nd;nd
2020-47;22-28 novembre 2021;Lombardia;168;1.462;225.577;6,48;<3,16;390;24,92;216;5,96;727;5,86;129;2,59
2020-47;22-28 novembre 2021;P.A. di Bolzano;5;18;7.659;2,35;;5;14,84;4;4,68;8;1,68;1;0,58
2020-47;22-28 novembre 2021;P. A. di Trento;5;16;7.321;2,19;<3,16;2;6,04;4;4,45;9;2,09;1;0,56
2020-47;22-28 novembre 2021;Veneto;47;162;67.957;2,38;<3,16;37;9,24;13;1,36;100;2,53;12;0,81
2020-47;22-28 novembre 2021;Friuli V.G.;8;30;10.524;2,85;<3,16;14;15,42;3;1,19;11;2,3;2;0,87
2020-47;22-28 novembre 2021;Liguria;18;89;22.962;3,88;<3,16;26;31,18;17;7,6;36;2,74;10;1,48
2020-47;22-28 novembre 2021;Emilia Romagna;46;339;56.857;5,96;<3,16;84;31,15;46;6,76;177;5,27;32;2,32
2020-47;22-28 novembre 2021;Toscana;28;161;45.872;3,51;<3,16;57;21,17;32;4,57;58;2,53;14;1,06
2020-47;22-28 novembre 2021;Umbria;12;65;12.132;5,36;<3,16;27;17,85;23;6,74;12;2,34;3;1,45
2020-47;22-28 novembre 2021;Marche;13;83;15.823;5,25;<3,16;26;25,79;21;6,99;36;4,27;-;-
2020-47;22-28 novembre 2021;Lazio;183;1.018;242.501;4,2;<3,16;177;18,24;123;4,86;583;3,87;135;2,38
2020-47;22-28 novembre 2021;Abruzzo;32;186;36.818;5,05;<3,16;59;26,66;42;8,03;64;3,04;21;2,52
2020-47;22-28 novembre 2021;Molise;11;22;11.467;1,92;<3,16;-;-;3;5,15;16;2,11;3;0,99
2020-47;22-28 novembre 2021;Campania;nd;nd;nd;nd;<3,16;nd;nd;nd;nd;nd;nd;nd;nd
2020-47;22-28 novembre 2021;Puglia;61;312;75.408;4,14;<3,16;82;16,63;65;6,14;143;3,33;22;1,3
2020-47;22-28 novembre 2021;Basilicata;10;-;13.260;-;<3,16;-;-;-;-;-;-;-;-
2020-47;22-28 novembre 2021;Calabria;nd;nd;nd;nd;;nd;nd;nd;nd;nd;nd;nd;nd
2020-47;22-28 novembre 2021;Sicilia;108;669;134.057;4,99;<3,16;104;21,57;102;7,79;312;3,72;151;4,69
2020-47;22-28 novembre 2021;Sardegna;nd;nd;nd;nd;;nd;nd;nd;nd;nd;nd;nd;nd
2020-48;29 novembre-5 dicembre 2021;Piemonte;40;347;58.253;5,96; <9,37;89;24,15;66;8,41;153;4,69;39;2,77
2020-48;29 novembre-5 dicembre 2021;Val D'Aosta;nd;nd;nd;nd; <9,37;nd;nd;nd;nd;nd;nd;nd;nd
2020-48;29 novembre-5 dicembre 2021;Lombardia;132;1.128;182.139;6,19;<3,16;216;21,17;126;5,31;674;6,34;112;2,67
2020-48;29 novembre-5 dicembre 2021;P.A. di Bolzano;5;24;7.659;3,13;;5;14,84;5;5,85;13;2,73;1;0,58
2020-48;29 novembre-5 dicembre 2021;P. A. di Trento;4;20;5.805;3,45;<3,16;3;9,06;4;4,58;11;3,28;2;1,6
2020-48;29 novembre-5 dicembre 2021;Veneto;34;102;46.131;2,21;<3,16;20;5,65;16;1,82;54;2,24;12;1,24
2020-48;29 novembre-5 dicembre 2021;Friuli V.G.;6;78;7.715;10,11;<3,16;9;9,91;1;0,41;56;19,01;12;8,53
2020-48;29 novembre-5 dicembre 2021;Liguria;15;87;18.820;4,62;<3,16;26;23,11;15;5,05;40;4,07;6;1,23
2020-48;29 novembre-5 dicembre 2021;Emilia Romagna;38;354;46.948;7,54;<3,16;101;33,29;61;8,94;173;6,58;19;1,76
2020-48;29 novembre-5 dicembre 2021;Toscana;25;121;42.625;2,84;<3,16;39;18,85;29;5,34;41;1,86;12;0,92
2020-48;29 novembre-5 dicembre 2021;Umbria;11;37;11.428;3,24;<3,16;16;15,61;14;5,58;6;1;1;0,53
2020-48;29 novembre-5 dicembre 2021;Marche;9;51;12.259;4,16;<3,16;4;7,63;4;2,75;36;5,02;7;2,25
