codiceProvinciale,codiceMiur,denominazioneUfficiale,primaria,secondaria1grado,secondaria2grado,formazione_professionale,indirizzo,email,latitudeY,longitudeX,comune,alunni
221393001,TNMM81401N,"SCUOLA SECONDARIA DI PRIMO GRADO ""C. ANDREATTA"" PERGINE VALSUGANA",False,True,False,False,Via Caduti 39,,46.0685614,11.24481204,PERGINE VALSUGANA,375
220852101,TNEE81401P,SCUOLA PRIMARIA S.FELICE FIEROZZO,True,False,False,False,Maso Ronca 1,,46.11218853,11.3191694,FIEROZZO - VLAROETZ,31
221617114,TNSD020011,"LICEO ARTISTICO ""Depero""- ROVERETO",False,False,True,False,Via Delle Fosse 9,,45.88731763,11.04592974,ROVERETO,381
222057137,TNSD02000X,LICEO MUSICALE COREUTICO ,False,False,True,False,Vicolo S Maria Maddalena 16,,46.06905328,11.12627657,TRENTO,231
222057136,TNSD02000X,"LICEO ARTISTICO ""Vittoria"" - Trento",False,False,True,False,Via Zambra 3,,46.09325628,11.11621086,TRENTO,667
222053011,TN1M00400G,SCUOLA SECONDARIA DI PRIMO GRADO ARCIVESCOVILE TRENTO,False,True,False,False,Via Monsignor  Endrici 23,,,,TRENTO,276
222052149,TN1E00100V,SCUOLA PRIMARIA ARCIVESCOVILE TRENTO,True,False,False,False,Via Monsignor  Endrici 23,,,,TRENTO,131
222057116,TNPS015002,LICEO SCIENTIFICO ARCIVESCOVILE - TRENTO,False,False,True,False,Via Monsignor  Endrici 23,,,,TRENTO,97
222057214,TNPC01500V,LICEO CLASSICO ARCIVESCOVILE - TRENTO,False,False,True,False,Via Monsignor  Endrici 23,,,,TRENTO,47
222055433,TNTD37500F,ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO,False,False,True,False,Via Monsignor  Endrici 23,,,,TRENTO,66
222055432,TNTD37500F,ISTITUTO TECNICO PER IL SETTORE ECONOMICO,False,False,True,False,Via Monsignor  Endrici 23,,,,TRENTO,56
222057138,TNPL085003,LICEO LINGUISTICO ARCIVESCOVILE - TRENTO,False,False,True,False,Via Monsignor  Endrici 23,,,,TRENTO,7
222053013,TN1M006007,SCUOLA SECONDARIA DI PRIMO GRADO SACRO CUORE TRENTO,False,True,False,False,Piazza S Teresa Verzeri 4,,46.0675394,11.11956138,TRENTO,211
222052108,TN1E00300E,SCUOLA PRIMARIA SACRO CUORE TRENTO,True,False,False,False,Piazza S Teresa Verzeri 4,,46.0675394,11.11956138,TRENTO,204
