Settimana;Data;Regione;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Casi (0-4 anni);Inc (0-4 anni);Casi (5-14 anni);Inc (5-14 anni);Casi (15-64 anni);Inc (15-64 anni);Casi (65 anni e oltre);Inc (65 anni e oltre)
2021-02;11-17 gennaio ;Abruzzo;31;51;34.751;1,47;8;2,18;9;1,21;25;1,44;9;1,42
2021-02;11-17 gennaio ;Molise;8;2;6.996;0,29;-;-;-;-;1;0,23;1;0,52
2021-02;11-17 gennaio ;Campania;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2021-02;11-17 gennaio ;Puglia;66;173;85.409;2,03;26;5,65;20;2,04;92;1,77;35;1,85
2021-02;11-17 gennaio ;Basilicata;1;-;1.095;-;-;-;-;-;-;-;-;-
2021-02;11-17 gennaio ;Calabria;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2021-02;11-17 gennaio ;Sicilia;116;175;140.571;1,24;11;2,18;15;1,13;105;1,19;44;1,29
2021-02;11-17 gennaio ;Sardegna;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2021-03;18-24 gennaio;Piemonte;40;99;54.526;1,82;6;1,69;12;1,79;62;1,98;19;1,46
2021-03;18-24 gennaio;Val D'Aosta;2;2;3.097;0,65;-;-;-;-;2;0,95;-;-
2021-03;18-24 gennaio;Lombardia;153;375;199.763;1,88;69;4,79;38;1,21;207;1,86;61;1,43
2021-03;18-24 gennaio;P.A. di Bolzano;6;11;8.844;1,24;3;3,29;3;1,96;4;0,83;1;0,62
2021-03;18-24 gennaio;P. A. di Trento;10;15;12.258;1,22;-;-;1;0,52;13;1,86;1;0,36
2021-03;18-24 gennaio;Veneto;55;30;72.163;0,42;-;-;1;0,11;24;0,57;5;0,28
2021-03;18-24 gennaio;Friuli V.G.;6;5;7.823;0,64;-;-;-;-;3;0,92;2;1,38
2021-03;18-24 gennaio;Liguria;18;26;23.281;1,12;8;6,18;5;1,61;9;0,7;4;0,67
