Stagione influenzale;Settimana n.;Settimana;Casi stimati in Italia;Incidenza 
2018 - 2019;2019-02;7-13 gennaio 2019;461.000;7,62
2018 - 2019;2019-03;14-20 gennaio 2019;607.200;10,04
2018 - 2019;2019-04;21-27 gennaio 2019;753.900;12,47
2018 - 2019;2019-05;28 gennaio-3 febbraio 2019;850.200;14,06
2018 - 2019;2019-06;4-10 febbraio 2019;801.800;13,26
2018 - 2019;2019-07;11-17 febbraio 2019;677.300;11,2
2018 - 2019;2019-08;18-24 febbraio 2019;546.400;9,04
2018 - 2019;2019-09;25 febbraio-3 marzo 2019;397.400;6,57
2018 - 2019;2019-10;4-10 marzo 2019;289.400;4,79
2018 - 2019;2019-11;11-17 marzo 2019;223.000;3,69
2018 - 2019;2019-12;18-24 marzo 2019;176.200;2,91
2018 - 2019;2019-13;25-31 marzo 2019;144.200;2,38
2018 - 2019;2019-14;1-7 aprile 2019;118.400;1,96
2018 - 2019;2019-15;8-14 aprile 2019;95.300;1,58
2018 - 2019;2019-16;15-21 aprile 2019;76.800;1,27
2018 - 2019;2019-17;22-28 aprile 2019;57.100;0,95
2018 - 2019;;Totale;8.104.200;
2019 - 2020;2019-42;14-20 ottobre 2019;64.500;1,07
2019 - 2020;2019-43;21-27 ottobre 2019;70.300;1,16
2019 - 2020;2019-44;28 ottobre-3 novembre 2019;69.400;1,15
2019 - 2020;2019-45;4-10 novembre 2019;105.400;1,75
2019 - 2020;2019-46;11-17 novembre 2019;129.800;2,15
2019 - 2020;2019-47;18-24 novembre 2019;143.400;2,38
2019 - 2020;2019-48;25 novembre-1 dicembre 2019;144.300;2,39
2019 - 2020;2019-49;2-8 dicembre 2019;181.500;3,01
2019 - 2020;2019-50;9-15 dicembre 2019;210.700;3,49
2019 - 2020;2019-51;16-22 dicembre 2019;253.700;4,2
2019 - 2020;2019-52;23-29 dicembre 2019;236.600;3,92
2019 - 2020;2020-01;30 dicembre 2019-5 gennaio 2020;297.700;4,93
2019 - 2020;2020-02;6-12 gennaio 2020;397.800;6,59
2019 - 2020;2020-03;13-19 gennaio 2020;510.900;8,46
2019 - 2020;2020-04;20-26 gennaio 2020;643.500;10,66
2019 - 2020;2020-05;27 gennaio-2 febbraio 2020;761.500;12,62
2019 - 2020;2020-06;3-9 febbraio 2020;730.600;12,11
2019 - 2020;2020-07;10-16 febbraio 2020;647.200;10,72
2019 - 2020;2020-08;17-23 febbraio 2020;552.100;9,15
2019 - 2020;2020-09;24 febbraio-1 marzo 2020;434.100;7,19
2019 - 2020;2020-10;2-8 marzo 2020;323.100;5,35
2019 - 2020;2020-11;9-15 marzo 2020;244.700;4,05
2019 - 2020;2020-12;16-22 marzo 2020;168.300;2,79
2019 - 2020;2020-13;23-29 marzo 2020;103.100;1,71
2019 - 2020;2020-14;30 marzo-5 aprile 2020;67.300;1,12
2019 - 2020;2020-15;6-12 aprile 2020;44.200;0,73
2019 - 2020;2020-16;13-19 aprile 2020;33.900;0,56
2019 - 2020;2020-17;20-26 aprile 2020;25.100;0,42
2019 - 2020;;Totale;7.594.700;
2020 - 2021;2020-42;12-18 ottobre 2020;80.300;1,33
2020 - 2021;2020-43;19-25 ottobre 2020;103.900;1,73
2020 - 2021;2020-44;26 ottobre-1 novembre 2020;116.400;1,93
2020 - 2021;2020-45;2-8 novembre 2020;122.700;2,04
2020 - 2021;2020-46;9-15 novembre 2020;116.200;1,93
2020 - 2021;2020-47;16-22 novembre 2020;110.900;1,84
2020 - 2021;2020-48;23-29 novembre 2020;101.100;1,68
2020 - 2021;2020-49;30 novembre-6 dicembre 2020 ;92.500;1,54
2020 - 2021;2020-50;7-13 dicembre 2020;83.800;1,39
2020 - 2021;2020-51;14-20 dicembre 2020;85.500;1,42
2020 - 2021;2020-52;21-27 dicembre 2020;75.200;1,25
2020 - 2021;2020-53;28 dicembre 2020- 3 gennaio 2021;76.500;1,27
2020 - 2021;2021-01;4-10 gennaio  2021;78.400;1,3
2020 - 2021;2021-02;11-17 gennaio  2021;81.100;1,35
2020 - 2021;2021-03;18-24 gennaio 2021;84.900;1,41
2020 - 2021;2021-04;25-31 gennaio 2021;84.900;1,41
2020 - 2021;2021-05;1-7 febbraio 2021;91.900;1,53
2020 - 2021;2021-06;8-14 febbraio 2021;89.500;1,49
2020 - 2021;2021-07;15-21 febbraio 2021;95.300;1,58
2020 - 2021;2021-08;22-28 febbraio 2021;99.000;1,64
2020 - 2021;2021-09;1-7 marzo 2021;97.300;1,62
2020 - 2021;2021-10;8-14 marzo 2021;93.700;1,56
2020 - 2021;2021-11;15-21 marzo 2021;84.000;1,39
2020 - 2021;2021-12;22-28 marzo 2021;69.600;1,16
2020 - 2021;2021-13;29 marzo-4 aprile 2021;59.500;0,99
2020 - 2021;2021-14;5-11 aprile 2021;54.200;0,9
2020 - 2021;2021-15;12-18 aprile 2021;51.600;0,86
2020 - 2021;2021-16;19-25 aprile 2021;51.200;0,85
2020 - 2021;;Totale;2.431.100;
2021 - 2022;2021-42;18-24 ottobre 2021;147.700;2,49
2021 - 2022;2021-43;25-31 ottobre 2021;171.000;2,89
2021 - 2022;2021-44;1-7 novembre 2021;192.000;3,24
2021 - 2022;2021-45;8-14 novembre 2021;226.200;3,82
2021 - 2022;2021-46;15-21 novembre 2021;248.300;4,19
2021 - 2022;2021-47;22-28 novembre 2021;264.000;4,46
2021 - 2022;2021-48;29 novembre-5 dicembre 2021;260.000;4,39
2021 - 2022;2021-49;6-12 dicembre 2021;244.000;4,12
2021 - 2022;2021-50;13-19 dicembre 2021;262.400;4,43
2021 - 2022;2021-51;20-26 dicembre 2021;279.700;4,72
2021 - 2022;2021-52;27 dicembre 2021-2 gennaio 2022;305.600;5,16
2021 - 2022;2022-01;3-9 gennaio 2022;290.800;4,91
2021 - 2022;2022-02;10-16 gennaio 2022;288.800;4,87
2021 - 2022;2022-03;17-23 gennaio 2022;269.700;4,55
2021 - 2022;2022-04;24-30 gennaio 2022;224.400;3,79
2021 - 2022;2022-05;31 gennaio-6 febbraio 2022;190.500;3,22
2021 - 2022;2022-06;7-13 febbraio 2022;165.300;2,79
2021 - 2022;2022-07;14-20 febbraio 2022;157.500;2,66
2021 - 2022;2022-08;21-27 febbraio 2022;164.600;2,78
2021 - 2022;2022-09;28 febbraio-6 marzo 2022;179.300;3,03
2021 - 2022;2022-10;7-13 marzo 2022;228.900;3,86
2021 - 2022;2022-11;14-20 marzo 2022;276.400;4,66
2021 - 2022;2022-12;21-27 marzo 2022;302.600;5,11
2021 - 2022;2022-13;28 marzo-3 aprile 2022;313.400;5,29
2021 - 2022;2022-14;4-10 aprile 2022;269.900;4,55
2021 - 2022;2022-15;11-17 aprile 2022;233.000;3,93
2021 - 2022;2022-16;18-24 aprile 2022;215.500;3,64
2021 - 2022;2022-17;25 aprile-1 maggio 2022;167.400;2,83
2021 - 2022;;Totale;6.538.900;
