"period_start","period_end","publication","url","variant","number_cases","percent_cases_variant","variant_sex_female","percent_variant_female","variant_sex_male","percent_variant_male","native_case","imported_case","period_start_last_45_days","period_end_last_45_days","number_cases_last_45_days","perc_cases_last_45_days","variant_sex_female_last_45_days","percent_variant_female_last_45_days","variant_sex_male_last_45_days","percent_variant_male_last_45_days","native_case_last_45_days","imported_case_last_45_days"
"28/12/20","02/08/21","06/08/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_6/Bollettino_varianti_6.pdf","B.1.617.2",6216,14.8,2719,13.2,3497,16.2,5678,538,"19/06/21","02/08/21",5356,69.2,2352,67.9,3004,70.3,4913,443
"28/12/20","02/08/21","06/08/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_6/Bollettino_varianti_6.pdf","B.1.525",419,1,169,0.8,250,1.2,356,63,"19/06/21","02/08/21",20,0.3,8,0.2,12,0.3,12,8
"28/12/20","02/08/21","06/08/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_6/Bollettino_varianti_6.pdf","B.1.617.1",155,0.4,68,0.3,87,0.4,153,2,"19/06/21","02/08/21",121,1.6,52,1.5,69,1.6,121,0
"28/12/20","02/08/21","06/08/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_6/Bollettino_varianti_6.pdf","B.1.617.3",2,0.1,2,0.1,0,0,2,0,"19/06/21","02/08/21",1,0.1,1,0.1,0,0,1,0
"28/12/20","02/08/21","06/08/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_6/Bollettino_varianti_6.pdf","P.2",5,0.1,1,0.1,4,0.1,5,0,"19/06/21","02/08/21",2,0.1,1,0.1,1,0.1,2,0
"28/12/20","02/08/21","06/08/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_6/Bollettino_varianti_6.pdf","B.1.617.1/2",56,0.1,21,0.1,35,0.2,54,2,"19/06/21","02/08/21",21,0.3,2,0.1,19,0.4,19,2
"28/12/20","02/08/21","06/08/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_6/Bollettino_varianti_6.pdf","Other",5496,13,2696,13.1,2800,13,5357,139,"19/06/21","02/08/21",545,7,242,7,303,7.1,504,41
"28/12/20","16/08/21","20/08/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_7/Bollettino_varianti_7.pdf","B.1.1.7",27188,57.9,13601,59.7,13587,56,26944,244,"03/07/21","16/08/21",779,7.9,346,7.8,433,8,748,31
"28/12/20","16/08/21","20/08/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_7/Bollettino_varianti_7.pdf","B.1.1.7 + E484K",70,0.1,33,0.1,37,0.2,70,0,"03/07/21","16/08/21",6,0.1,1,0.1,5,0.1,6,0
"28/12/20","16/08/21","20/08/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_7/Bollettino_varianti_7.pdf","B.1.351",283,0.6,134,0.6,149,0.6,272,11,"03/07/21","16/08/21",8,0.1,7,0.2,1,0.1,7,1
